id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
"D1",6512.1593,6513.1320,6510.7401,6496.4507,6474.5730,6460.0776,6460.9139,6453.3914,6458.9073,6457.3996,6438.0455,6440.9182,6426.3012,6424.6009
"D2",5541.1250,5481.9443,5546.9230,5619.1470,5693.9801,5719.6981,5773.9366,5746.6417,5736.7952,5791.0102,5744.0726,5746.1967,5675.1427,5604.6126
"D3",1553.8417,1548.3444,1544.8733,1547.5918,1541.8134,1537.7849,1532.5573,1528.1191,1522.7938,1520.3960,1518.1637,1512.1624,1511.4324,1509.8864
"D4",7153.8814,7173.2044,7200.3861,7204.8344,7223.0427,7189.1375,7209.1876,7199.6034,7223.4318,7222.5336,7240.8659,7269.7507,7276.9061,7264.6106
"D5",1908.8049,1917.0225,1919.7825,1934.2933,1933.8232,1935.2356,1938.7066,1941.4471,1934.5338,1942.0635,1938.4220,1939.0476,1934.7941,1928.6526
"D6",5519.5898,5530.5801,5498.1665,5504.4604,5512.8085,5511.2339,5484.1192,5472.0140,5494.4396,5471.7196,5491.9430,5491.5759,5491.5125,5476.2749
"D7",4998.2054,4998.9973,4995.1626,4992.3656,4993.5199,4980.1852,5001.9816,5012.9452,5002.5337,4995.8392,4998.6371,5003.5022,5010.9943,5009.9357
"D8",17417.0989,17273.5625,17220.1462,17295.4528,17109.9758,17155.3889,17102.5580,17154.9682,17101.4195,17317.9092,17206.1383,17126.4695,16964.7039,17030.4380
"D9",9915.0732,9928.4850,9928.3447,9922.7152,9909.8915,9901.1904,9894.8512,9890.2555,9917.6712,9913.8479,9929.6922,9928.0897,9915.5567,9955.2160
"D10",1184.5252,1185.2598,1186.1394,1188.3258,1192.8314,1193.2990,1194.3891,1194.1424,1194.8779,1196.8209,1197.3989,1198.2374,1194.3037,1192.1753
