id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
"H1",871.5572,860.6817,671.1707,627.4808,576.3897,569.3439,548.8124,525.1675,513.6361,510.6898,614.5870,613.9003,611.0744,646.5245,624.6039,610.4921,610.7731,596.9805,605.6108,629.8138,631.0700,614.9015,605.4112,597.0247,612.8283,587.6982,428.2051,431.9974,452.3584,449.2727,425.5558,429.8754,417.3831,418.2606,566.3136,583.4399,582.1409,577.0978,575.5723,574.2306,585.6074,572.3868,576.9527,585.5369,581.9036,578.0987,596.8712,606.4680
"H2",15.0633,34.9403,93.8161,271.3617,438.8161,295.8518,193.7665,209.0101,296.8522,250.7387,215.5963,253.7300,448.8878,406.5692,224.7856,89.2687,77.8194,71.5230,87.4396,39.9668,17.9299,18.8058,20.0606,18.3985,16.3348,47.0155,109.8730,231.9415,429.4879,221.5261,171.6441,166.0309,242.6494,176.7368,161.3568,224.9737,384.2861,343.2884,207.1241,98.7258,85.2914,93.6209,108.1518,62.8705,29.9161,17.0426,21.5734,18.8284
"H3",18.0635,17.3088,17.0299,16.4164,16.0699,16.0164,16.1707,18.1874,20.1218,21.4919,23.1035,23.5818,23.9550,24.5765,24.6764,25.8676,25.9257,24.8100,24.9008,23.5659,22.1667,20.7812,19.7868,18.9080,18.1723,17.8383,17.3453,16.8191,16.3245,16.1055,16.4417,18.6995,19.7668,21.6512,22.9872,23.5096,24.1238,24.4884,25.0201,26.9386,25.7324,25.1641,24.5202,23.8610,22.8767,21.4407,20.1234,19.0936
"H4",18.2859,17.7761,17.6720,17.1701,16.7723,16.6552,16.7832,17.9109,19.6121,21.4919,23.3232,23.5818,23.9969,24.5286,25.4225,25.8676,25.8705,24.6032,24.1077,23.2320,21.9060,21.0134,20.3338,19.3416,18.6995,18.1480,17.8043,17.6588,17.0504,16.8625,16.9298,17.9955,19.5182,21.5855,22.9872,23.5096,24.0133,24.3600,25.2434,25.7464,25.3366,24.3661,24.1280,23.5211,22.4320,21.3976,20.5134,19.3765
"H5",19.4191,18.9000,18.4319,17.9263,17.6058,17.2923,17.5645,18.2634,19.8642,20.8905,22.3072,23.2637,23.5924,23.8410,24.1927,24.5386,24.9057,24.4579,24.1077,23.0637,21.9060,21.3292,20.7501,20.3959,19.1867,18.8930,18.5056,17.8857,17.8604,17.3044,17.4015,18.4592,19.5182,21.0515,22.0934,23.1884,23.5930,23.9547,24.3575,24.5704,24.6771,24.3661,23.8835,23.5211,22.4168,21.6825,21.0514,20.1427
"H6",18.1377,17.5428,17.4809,17.1701,17.0804,17.8997,19.1270,20.4085,21.9970,23.6172,24.0403,24.6596,24.4368,24.5286,25.6691,25.8676,25.9327,24.2758,23.0610,21.7402,21.2090,20.4237,19.8681,18.9080,18.1842,18.0814,17.6743,17.5721,17.2358,17.7517,19.1060,20.4455,21.7121,23.0187,23.6657,24.4848,25.4283,25.1059,25.9261,25.7437,25.3366,24.1343,23.4508,22.3970,21.4461,20.9223,19.9683,19.0936
"H7",31.6411,18.1950,15.9416,18.0905,30.8770,39.3355,63.1920,79.6263,96.1142,121.6043,158.6847,154.1010,148.4848,121.5559,132.4172,149.2903,159.5228,107.3109,110.4956,94.7997,79.8398,90.6789,77.7488,43.9040,26.7547,20.2801,16.0307,18.0827,27.3533,41.1670,50.1606,73.0560,116.8905,107.3304,123.6242,118.9036,126.4118,125.8467,135.2346,121.1091,122.5956,86.6315,72.7171,69.8557,60.5054,68.2862,48.8600,32.5990
"H8",61.2874,48.5331,46.4231,59.0724,59.2630,72.5961,145.1195,248.3234,307.6203,229.1658,181.4070,147.0242,133.0730,147.7469,179.7303,201.7089,149.8379,200.3432,197.7876,102.1950,121.3669,100.7475,97.1277,45.8840,37.2636,25.7484,41.3032,55.5525,151.8217,349.0349,437.3742,500.6997,475.1706,390.9301,385.2285,409.6456,358.0973,359.8209,369.0297,409.2115,404.6514,385.5365,336.1280,208.3364,156.4550,141.6352,118.6946,72.4024
"H9",17.3611,14.0958,14.6259,13.3229,13.6017,15.0661,21.3729,26.0118,38.5644,40.8658,46.3352,38.6472,40.9337,41.8445,45.6509,42.2255,43.5269,45.7928,44.0756,41.3659,34.9658,31.1964,23.8259,21.5335,18.4693,16.1395,15.9013,13.9694,15.5726,15.4355,23.4342,27.1292,34.4086,40.3529,39.5743,39.5055,36.0139,37.4119,44.4285,45.2843,43.3662,42.0655,40.8873,37.1343,32.2952,29.1218,24.4057,20.4727
"H10",14.5806,20.7315,15.9330,22.8952,34.4426,42.1395,78.3212,76.1096,65.7277,72.3533,52.3775,53.8990,59.6140,71.6468,70.5872,81.9497,68.1093,55.5300,54.4664,34.6005,37.9344,44.9078,34.6913,21.2696,17.1673,16.5645,14.9010,19.7875,33.6498,58.5298,148.3690,162.9422,190.2783,79.0019,61.2288,50.4711,76.0502,81.4191,83.6071,118.2943,129.2102,121.8728,93.2451,61.2221,54.9564,37.7470,30.7963,23.5511
