id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
"M1",3901.7031,4055.3926,4134.8886,4006.2252,4066.2599,4041.5210,3911.1890,3797.9397,3896.5536,3766.0659,3976.0757,4119.0865,4150.6344,4161.9754,4135.2416,4103.1338,4087.7585,4004.0771
"M2",2097.0501,2083.4976,2092.5301,2093.0237,2203.2296,2228.9860,2211.5741,2164.1742,2257.4147,2260.7812,2153.5807,2026.3443,2147.1931,2142.3378,1880.0919,2051.1392,2052.5726,1988.9059
"M3",6147.9965,6073.4303,5964.6163,5770.4889,5481.1851,5290.8030,5417.1009,4931.0923,6088.4564,5022.4023,5184.4923,5706.4194,5338.2594,5339.4047,5085.1011,4581.9224,4951.0740,4271.5064
"M4",1066.6834,1041.9129,1055.2794,1045.5203,1070.9989,1040.6773,1051.6290,1067.0743,1118.5420,1206.9919,1398.1912,1251.1022,1226.2278,1263.1182,1292.0607,1230.0244,1196.0413,1192.9247
"M5",4386.1432,4582.4524,4138.1996,3490.9218,3774.2661,3891.6551,4285.5508,4786.8824,4627.0487,5024.1827,4980.3717,4668.1794,5014.0452,4945.9837,4783.9424,4281.8731,4205.6034,4759.9857
"M6",2404.7646,2367.4518,2402.1738,2412.2792,2385.3371,2425.5485,2337.6221,2393.2059,2390.8030,2429.9729,2461.3501,2424.6132,2310.9573,2263.4995,2270.3340,2243.1523,2258.7611,2233.9753
"M7",1143.7113,1149.6255,1159.7454,1170.5882,1200.0555,1130.9615,1111.8190,1110.2774,1115.6375,1133.1408,1115.5574,1133.6201,1132.6172,1108.6732,1092.4193,1071.7647,1067.1050,1048.2424
"M8",7978.5880,5865.4017,7458.8328,6721.7842,6007.3830,7355.2245,5956.5415,4966.5942,7593.7067,5518.1288,6847.7938,5915.5223,5367.8042,4898.6277,5815.0793,5481.1197,5682.8804,6922.3929
"M9",2637.7161,2634.0758,2582.8148,2493.4455,2524.9417,2546.1128,2500.8062,2453.9705,2400.6764,2300.6138,2398.5779,2175.3091,2185.8034,2079.4060,1982.3559,2153.2000,2028.4762,2031.9156
"M10",1808.2735,1795.7343,1941.8886,1984.6089,1803.7904,1776.7587,1720.1122,1762.7186,2009.1138,2179.7328,2066.3383,1983.8994,1970.4066,2041.6987,1957.5257,2310.8689,2250.6194,2349.4032
