id,V1,V2,V3,V4,V5,V6,V7,V8
"Q1",3747.6054,4154.1018,4186.3335,4242.8922,4229.9334,4322.0093,4320.2028,4263.2955
"Q2",7336.4558,7133.8159,7429.3498,7478.5069,7534.9118,7683.1316,7407.9009,7761.1510
"Q3",1429.2400,1445.0723,1444.9364,1567.4694,1560.3540,1448.1857,1456.5222,1392.0339
"Q4",11988.0150,12242.0972,12384.2700,12567.5455,12797.1875,12871.0479,13093.8229,13196.8132
"Q5",9715.7363,9876.1123,9379.7638,9346.2572,9423.7035,9285.5422,9989.9134,10316.3720
"Q6",3652.6982,3417.1448,3411.0460,4242.1130,3691.3238,3680.0191,3496.5567,2693.6469
"Q7",4252.1179,4079.9638,3771.5762,3461.6192,3793.0367,3432.0376,3350.4234,3198.0511
"Q8",1792.1170,1344.3722,1326.4672,1548.9290,1454.8660,1540.9215,1307.8878,1741.7890
"Q9",1212.6811,1322.6210,1300.7410,1460.5721,1275.2747,1282.4534,1281.8132,1169.9278
"Q10",2763.0722,2948.5296,2777.5182,2774.0992,2972.8509,3095.3216,3177.6697,3053.6678
