id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
"W1",4127.3345,4286.9779,4241.7024,4242.8030,4342.3149,4509.7518,4275.7499,4306.3626,4475.3182,4654.9931,4430.9870,4488.5184,4130.5016
"W2",6415.4376,6630.2695,6551.0397,6788.6332,6564.6314,6548.2527,6435.3138,6489.2796,6296.4860,6399.5262,6341.0912,6123.9427,6020.0833
"W3",5376.1136,5379.1323,5443.5156,5459.9390,5444.2305,5467.9710,5472.3346,5458.9781,5519.4679,5473.8544,5431.8368,5416.7523,5533.5223
"W4",2038.3879,2025.9188,2063.9911,2066.7566,2039.0622,2015.7531,2033.7933,2083.1401,2118.6308,2116.1539,2056.8602,2045.3948,2062.2741
"W5",2395.9906,2424.4495,2443.9734,2479.6805,2509.9647,2541.7863,2524.9460,2555.6789,2553.4960,2562.5755,2532.3037,2530.8489,2542.3392
"W6",1675.7791,1584.1536,1759.4994,1838.5893,1844.4097,1856.1596,1928.6242,1978.2196,2030.7750,2054.7412,1909.4454,1676.0315,1602.2426
"W7",7497.0231,7651.0005,7869.0500,7911.8519,7793.7851,8065.1735,7832.6014,8225.3839,7789.0709,8147.3821,7985.8792,8294.7314,8051.2464
"W8",4005.3299,3999.1619,4010.2453,4057.4520,3999.1624,3997.4438,3987.2887,3994.2932,4030.9151,4074.5264,4137.4226,4034.2717,4008.2496
"W9",2121.4468,2132.8390,2128.1952,2133.8125,2145.4595,2145.6653,2144.2930,2142.0114,2138.1070,2145.9106,2146.3620,2137.0359,2161.2875
"W10",3464.9560,3437.1191,3410.9558,3418.5500,3480.2637,3473.9571,3590.5918,3596.6074,3567.9834,3511.5026,3781.9874,3746.5817,3829.9968
