id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
H1,903.6466,855.1316,720.9618,743.4738,637.9513,619.1192,644.3954,620.2694,590.3366,674.9440,712.4495,725.1901,772.1304,731.6798,761.3379,766.8135,740.5233,784.5940,773.1266,782.4169,761.5923,791.6881,784.4924,766.9903,782.0382,697.9091,655.5849,623.5669,623.4318,597.0290,592.7619,579.3172,570.6852,580.7465,646.6000,650.2072,660.7316,687.4091,698.4330,713.5026,718.5506,698.3374,705.2100,737.5764,709.5986,740.4063,748.8321,759.6860
H2,18.0123,32.7780,104.2379,270.8341,457.1994,256.4966,211.9299,238.5083,301.8379,261.7989,233.4586,273.0271,346.3687,435.7638,203.0122,99.7476,80.0780,67.3799,56.6508,29.1343,19.7518,16.3874,14.9515,16.3405,20.3076,35.0981,74.9687,215.4226,323.4047,206.5549,196.1182,240.8352,271.1643,239.3673,220.6629,236.4044,370.6210,333.7189,176.3374,99.0938,82.2115,78.3521,62.6924,33.1103,26.7356,20.9675,20.3279,20.8329
H3,18.0230,17.4656,16.9046,16.5080,16.2881,16.1865,16.4256,18.2710,20.1004,21.6639,22.9688,23.9533,25.0205,25.3984,25.7604,25.7645,25.7627,25.7482,25.1505,24.1243,22.6163,20.7199,19.4721,18.8183,18.1090,17.3932,16.9375,16.5757,16.3509,16.0717,16.6197,18.2450,20.1810,21.9038,23.0792,24.2697,25.0663,25.4900,25.7504,25.8085,25.8375,25.9551,25.3341,24.0638,22.8110,20.7768,19.4574,18.9463
H4,18.6661,18.0562,17.5033,17.3455,16.9204,16.6180,16.7909,17.9453,19.6421,21.5598,23.1436,24.3000,25.2089,25.4807,25.8068,25.7522,25.7452,25.6254,24.8316,23.9198,22.3269,21.2570,20.0628,19.2214,18.6912,18.1118,17.7235,17.4229,16.9674,16.9475,16.8188,18.0752,19.7589,21.6198,23.3754,24.5257,25.2495,25.6949,25.7488,25.7969,25.8284,25.8502,25.0124,23.8256,22.6683,21.2436,19.9890,19.4265
H5,19.4148,18.8497,18.5999,18.0731,17.8292,17.3338,17.2802,18.6030,19.8172,21.1244,22.0200,23.2365,24.4068,24.9698,25.2483,25.4419,25.3529,25.2706,24.6348,23.5739,22.4710,21.6801,20.8001,19.9596,19.4383,18.9764,18.3918,17.8838,17.6395,17.2899,17.2157,18.4652,19.8627,21.1262,22.4256,23.2766,24.2937,25.0049,25.3352,25.3198,25.3483,25.4221,24.8293,23.5454,22.5710,21.4296,20.6113,20.1065
H6,18.4346,17.9486,17.5271,17.2744,17.4377,18.3532,19.4577,20.7278,22.0009,23.4516,24.6752,25.4702,25.8750,25.9869,26.2205,26.0067,25.9245,25.1709,24.2984,22.8454,21.7041,20.2217,19.5132,19.0206,18.5286,18.1852,17.6537,17.3594,17.3311,18.1947,19.2076,20.7934,21.9361,23.5202,24.6270,25.6873,25.9150,26.0876,26.1344,26.1076,25.8464,25.4695,24.1966,22.6071,21.2625,20.2400,19.7187,19.1339
H7,30.2613,19.0148,18.0020,18.6046,21.3221,28.0235,50.2052,71.3126,98.7154,133.3007,179.6881,173.3932,186.0689,154.4407,206.8105,188.8682,158.5303,163.2425,125.9789,148.0441,115.3567,104.8563,68.1009,41.5914,30.9143,20.8337,18.7814,17.2738,26.2887,33.2862,42.6629,67.8860,96.4468,122.9024,161.1777,156.2462,171.7337,183.6912,200.0729,178.1809,165.2548,151.4021,120.4877,114.4674,109.9129,74.1457,57.5360,32.0640
H8,58.4893,52.3676,46.9837,60.3433,112.1392,196.9502,173.2918,174.0160,188.3777,202.4129,202.9764,205.1962,170.5055,248.1262,233.6857,216.8634,205.5493,271.8517,179.6459,141.1246,107.8889,148.6537,101.0767,55.1203,86.7247,40.9405,43.7819,71.9888,183.8933,336.4940,514.4622,614.2409,604.2218,392.1548,298.3748,322.1460,293.4286,272.4535,308.1888,320.6642,356.8998,345.2002,247.3921,191.7250,147.0465,130.6687,115.2358,101.3320
H9,17.8815,15.9395,14.6381,13.5248,14.0537,14.8318,22.3121,25.0226,35.5308,42.6354,43.4639,43.6993,42.5487,42.8667,49.7800,47.8480,42.3490,44.4896,36.9685,40.9154,31.4758,28.8724,24.9279,21.3224,17.8475,15.9789,15.1645,13.7329,14.8366,16.0959,22.8332,25.9222,33.0547,38.1647,38.9170,39.5424,39.0623,41.9865,46.7426,45.2445,45.3583,42.9132,37.2358,37.1734,28.8277,24.4802,21.2202,20.3496
H10,13.7182,14.3088,13.2790,18.8034,24.2293,35.6622,76.9784,74.1027,71.4514,63.9439,55.9287,47.7273,48.0739,60.1793,58.0101,81.4953,94.0821,91.3904,53.2613,55.4548,40.1158,34.5972,23.4963,20.1713,15.2081,11.7510,12.0875,15.0940,24.4014,48.2848,116.4704,166.9107,151.1512,99.5510,78.1410,66.8426,75.7469,67.2460,74.8645,108.3386,135.6591,130.5798,75.4199,53.8759,58.2771,33.8811,28.3657,22.1322
