id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
M1,3860.0199,3854.1995,3833.3435,3859.0073,3895.2572,3827.8280,3479.9457,3418.3414,3543.9765,3762.9766,3904.5051,3944.9622,3934.2578,3912.8022,3895.5040,3921.3398,3950.6036,3850.2943
M2,1865.5128,1847.2974,2020.2480,2110.2355,2104.9094,2083.4821,1993.8307,2037.3045,2044.0855,2072.5489,2037.0989,1839.4732,1798.3065,1747.0802,1951.4075,2058.5922,2058.7174,2025.1359
M3,7361.7944,7031.8792,6689.9426,6717.2880,6330.5689,6378.2717,6216.9677,6041.8533,6625.6059,5680.2568,6345.8456,7107.2602,7241.2630,6945.8014,6586.9575,6360.3403,6248.7205,6228.0016
M4,1072.1085,1066.3916,993.4527,1001.0243,984.4963,1019.7680,1079.5986,1094.4945,1111.9067,1163.4693,1241.7543,1181.0633,1193.4988,1137.6772,1168.8361,1163.0348,1134.2454,1185.8179
M5,4187.0795,4115.9933,4036.0415,3701.1228,3861.4967,4099.1077,4149.4564,4270.8279,4424.5419,4456.6061,4332.7763,4455.0292,4401.7116,4344.2675,4327.1008,4131.3840,4206.9831,4383.3215
M6,2340.1070,2278.2955,2272.3109,2257.3929,2235.7721,2188.9820,2187.5055,2174.2922,2135.7328,2135.2978,2135.5820,2113.8385,2113.2409,2086.7690,2055.2079,2065.1472,2053.2596,2015.1911
M7,1129.8516,1133.8587,1138.8797,1132.5317,1131.9046,1128.8578,1139.0644,1141.7373,1147.8541,1153.2121,1161.7690,1167.4096,1164.0991,1171.6724,1172.0328,1167.4798,1172.7411,1172.0961
M8,7620.3606,7386.2571,7813.6312,7607.2809,7525.5644,7838.2740,7284.1536,6225.2495,8141.9998,7606.5042,7599.1583,7569.8139,7595.6729,7448.2055,7799.9547,7520.3198,7683.1971,7711.1333
M9,2724.2389,2717.4467,2680.9225,2667.9245,2635.7628,2600.7150,2582.7525,2529.1430,2473.8684,2469.4766,2440.9032,2406.7749,2340.8361,2382.8805,2372.0784,2358.3117,2349.8504,2331.2373
M10,1570.6455,1649.9795,1762.6867,1743.5912,1552.5234,1586.1393,1715.9229,1648.0125,1711.1473,1752.2807,1763.3582,1622.7906,1455.2400,1586.0092,1690.7027,1619.6795,1420.2398,1381.0204
