id,V1,V2,V3,V4,V5,V6,V7,V8
Q1,3558.9703,3490.8212,3464.3485,3418.9782,3397.3140,3373.0448,3368.3108,3353.4646
Q2,6693.2411,6484.0655,6331.4646,6171.9560,6077.4705,5988.7308,6078.6786,5963.5755
Q3,1101.9256,1084.8015,1089.8853,1080.3974,1075.8144,1075.9048,1072.3544,1078.3961
Q4,12570.4697,12257.5682,11981.7250,11728.2503,11499.9879,11379.0652,11063.4033,11158.3975
Q5,10108.6388,10125.4631,10123.5670,10084.2012,10091.8868,10116.1566,9987.3160,10032.2984
Q6,4533.8974,4527.2787,4036.8883,4019.3303,4409.6867,4056.7724,3984.5805,4218.1700
Q7,4330.5035,5028.0144,4561.8464,4311.2010,4266.6050,4970.9468,4731.4436,4371.9504
Q8,1277.6273,1315.7896,1359.3738,1497.7560,1739.2890,1945.8556,1748.9600,1942.9521
Q9,1133.0321,1148.4926,1112.3485,1137.3016,1127.9757,1135.6846,1110.2122,1129.2462
Q10,2639.7307,2532.4390,2706.5130,2568.6223,2513.6617,2476.4296,2538.9825,2580.1914
