id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
W1,4051.9753,4809.3735,4615.7970,4346.1478,4295.1896,4598.5948,4576.8758,4763.4937,4553.6791,5223.6318,5724.6982,4779.4278,4252.3880
W2,6300.3668,6254.6525,6250.5860,6189.2707,6167.5766,6142.8578,6121.3777,6103.8215,6037.8966,5962.7178,5999.6463,6026.4771,5984.3750
W3,5293.5797,5248.4750,5202.9352,5240.8947,5246.1282,5239.3541,5238.3241,5230.7745,5207.9180,5188.3496,5187.2156,5199.1498,5172.8363
W4,2011.3581,1995.9745,1995.3983,2010.7034,2008.0783,2011.9883,2018.0854,2010.2567,2023.8410,2028.0488,2015.5716,2011.0469,2016.0957
W5,2393.9981,2384.2209,2375.9142,2374.7711,2375.8771,2371.1865,2362.1766,2359.3175,2355.7404,2359.9458,2350.3504,2350.1840,2341.2752
W6,1789.0974,1799.7313,1811.4681,1888.1422,1989.5590,2181.5046,2137.8075,2098.1797,2511.9651,2943.7888,2884.3511,2462.6907,2115.0362
W7,7938.1987,7900.2370,7943.7129,8033.6325,7991.2935,8016.1810,8077.3965,8076.3379,8158.3329,8104.1599,8036.5766,8131.2575,8168.1088
W8,4018.3197,4018.6721,4027.4552,4024.8621,4028.5307,4037.5610,4035.6384,4028.6966,4047.2192,4059.5826,4058.1372,4072.9450,4064.3470
W9,2133.8328,2135.9653,2133.8618,2131.1069,2135.9589,2134.3106,2137.3635,2136.5672,2134.6358,2139.8894,2145.9438,2150.7479,2147.1078
W10,3449.3541,3582.0930,3884.7454,4013.3059,3968.0490,4336.0349,4813.2915,5055.0340,5028.6948,4626.1029,4287.1082,4393.9209,4029.5960
