id,V1,V2,V3,V4,V5,V6
Y1,2401.1696,2271.9523,2214.4938,2093.3286,2066.4604,2060.3641
Y2,5252.0511,5525.0611,5470.3538,5640.9028,5546.7578,5578.2651
Y3,8634.3329,7698.5506,7649.9101,7316.7347,6902.8796,6541.8946
Y4,1366.3680,1319.5172,1314.0055,1290.9460,1299.5561,1293.0127
Y5,3046.2435,3047.6833,3048.2989,3031.1282,3039.6736,3063.1644
Y6,4320.7663,4320.1018,4294.5069,4308.8212,4354.0091,4341.1059
Y7,8632.0270,8302.0204,7930.9858,7707.6179,7506.5087,7295.8119
Y8,9687.4793,9546.4185,9384.3676,9348.3927,9275.3497,9214.1741
Y9,1796.8049,2034.0990,2393.7736,2548.5736,2868.9472,3066.8928
Y10,4317.4916,4229.1434,4166.7987,4129.5259,4081.2871,4018.2198
