ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
M1,3145.815409318671,3106.8610247829806,3224.0137856689103,3422.0376659999793,3531.060492676467,3619.2409131703857,3641.3576180486734,3663.771801223449,3625.798196443703,3624.7812180016595,3592.844171500324,3512.2963618240033,3165.898911271228,3126.6852874806377,3244.5746439533377,3443.849811708162,3553.5556036593066,3642.2855556703616
M2,1989.6261316609696,2103.0137420653737,2135.837289589302,2126.7855668803395,2082.3949943897883,1928.6243915939617,1771.8119041073232,1725.4766748092002,1919.783221069317,2091.7952099413274,2123.3350716474183,2119.462884201351,2010.0937797701024,2124.6292990063484,2157.771431880103,2148.608076162539,2103.7437665242096,1948.3798254054882
M3,6833.940498079352,6757.01045242258,7112.465077354527,6535.556300244413,7252.875251393808,7392.415383587184,7352.112328172045,7258.347324458756,6989.441557606153,7129.647582465279,7188.51169647169,7177.026820712457,6918.8205380321515,6840.848218434749,7200.622004218661,6616.479026885995,7342.5871957898335,7483.759167834626
M4,624.8444047596105,599.6928210492033,574.541237338796,549.3896536283887,524.2380699179815,499.08648620757424,473.934902497167,448.78331878675976,423.63173507635247,398.48015136594523,373.328567655538,348.17698394513076,323.02540023472346,297.8738165243162,272.722232813909,247.57064910350175,222.41906539309446,197.26748168268722
M5,4358.603162929238,4317.2728461871575,4275.942529445076,4234.612212702994,4193.281895960913,4151.951579218831,4110.62126247675,4069.2909457346686,4027.960628992587,3986.6303122505055,3945.299995508424,3903.969678766343,3862.6393620242616,3821.30904528218,3779.9787285400985,3738.648411798017,3697.3180950559354,3655.987778313854
M6,1834.7597983983742,1828.2585323067756,1839.662567674595,1831.4482838810368,1860.8874559086553,1903.181688088847,1954.4156209716136,1968.5985900590656,1982.6744217993216,1972.1746045222885,1953.420087795844,1921.1681576773535,1844.0795610974033,1837.5413420909651,1848.999329825893,1840.7394268438877,1870.3239577300674,1912.8285860397618
M7,1088.2214591766522,1096.8079980115554,1087.4349446996591,1077.8403507746275,1080.189500400929,1080.425082297605,1085.5432268539507,1088.6049619297003,1084.5600677217296,1083.9181001771005,1072.7499379987757,1076.1339026891858,1081.922183663774,1090.4559543670123,1081.1341432020058,1071.5921252000637,1073.9246303914897,1074.1558159285187
M8,7868.684364513213,6347.075461921033,10238.622031519159,8505.822755977217,8778.934732822623,9419.199732410014,8394.95863407041,8060.085966571744,9015.669717861429,8699.993387839848,8698.191578963762,9202.4142847605,7956.995315629693,6418.242700013438,10353.316468198294,8601.017274310285,8877.094287717271,9524.420215493774
M9,2411.0712675339173,2422.222660919671,2433.374054305425,2444.525447691179,2455.6768410769328,2466.828234462687,2477.979627848441,2489.1310212341946,2500.2824146199487,2511.4338080057028,2522.5852013914564,2533.7365947772105,2544.8879881629646,2556.039381548718,2567.1907749344723,2578.3421683202264,2589.49356170598,2600.644955091734
M10,1638.9088552182675,1645.8096876781829,1649.6406798490204,1629.9717018690267,1616.5456201975214,1677.0928579170145,1821.107366657018,1773.6292813982925,1793.2824317700606,1681.491822711683,1637.9466801470346,1678.551785432329,1748.9602838691555,1755.7095278319032,1759.1867533585769,1737.6159512918848,1722.718891734638,1786.6432204215862
