ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13
W1,3480.859635870432,3481.3819999202874,3481.904363970143,3482.4267280199983,3482.9490920698536,3483.4714561197093,3483.9938201695645,3484.51618421942,3485.0385482692755,3485.5609123191307,3486.0832763689864,3486.6056404188416,3487.1280044686973
W2,5948.988313226221,5950.299638469406,5951.610963712591,5952.922288955776,5954.233614198961,5955.544939442146,5956.85626468533,5958.167589928515,5959.4789151717,5960.7902404148845,5962.101565658069,5963.412890901254,5964.724216144439
W3,5310.117521658002,5312.798705063609,5315.479888469216,5318.161071874824,5320.842255280431,5323.523438686038,5326.204622091646,5328.885805497253,5331.56698890286,5334.248172308468,5336.929355714075,5339.6105391196825,5342.29172252529
W4,2022.652502012691,2022.9403653207762,2023.2282286288614,2023.5160919369469,2023.803955245032,2024.0918185531173,2024.3796818612025,2024.6675451692877,2024.955408477373,2025.2432717854583,2025.5311350935435,2025.8189984016287,2026.106861709714
W5,2500.46155773382,2500.7657671086226,2501.0699764834258,2501.3741858582284,2501.678395233031,2501.9826046078338,2502.2868139826364,2502.591023357439,2502.8952327322418,2503.199442107045,2503.5036514818476,2503.80786085665,2504.112070231453
W6,2026.5847235300023,2029.2555034990926,2031.9262834681826,2034.597063437273,2037.267843406363,2039.9386233754533,2042.6094033445434,2045.2801833136336,2047.9509632827237,2050.6217432518138,2053.292523220904,2055.9633031899943,2058.634083159084
W7,8438.70018433881,8438.81303330421,8438.925882269612,8439.038731235012,8439.151580200412,8439.264429165813,8439.377278131215,8439.490127096615,8439.602976062015,8439.715825027415,8439.828673992817,8439.941522958217,8440.054371923618
W8,4014.1803840040366,4017.2832412349762,4020.386098465916,4023.4889556968556,4026.591812927795,4029.694670158735,4032.797527389675,4035.9003846206147,4039.0032418515543,4042.106099082494,4045.2089563134336,4048.3118135443733,4051.414670775313
W9,2134.7059168501646,2135.0225249405016,2135.339133030838,2135.6557411211747,2135.9723492115113,2136.2889573018483,2136.605565392185,2136.9221734825214,2137.2387815728584,2137.555389663195,2137.8719977535316,2138.188605843868,2138.505213934205
W10,3754.6361945642693,3752.158043873871,3749.679893183473,3747.2017424930746,3744.723591802676,3742.2454411122776,3739.7672904218794,3737.289139731481,3734.810989041083,3732.3328383506846,3729.8546876602863,3727.376536969888,3724.89838627949
